date,shown,clicked,converted,total_spend,ad
11/17/15,51745,1302,118,924.42,ad_group_2
11/18/15,52999,1510,128,1147.6,ad_group_2
11/19/15,49519,761,110,388.11,ad_group_2
11/20/15,51178,1201,126,792.66,ad_group_2
11/21/15,53358,1277,139,855.59,ad_group_2
11/22/15,50115,1129,114,722.56,ad_group_2
10/1/15,148198,13842,47,37234.98,ad_group_3
10/2/15,149873,13196,57,33649.8,ad_group_3
10/3/15,155892,12722,55,31423.34,ad_group_3
10/4/15,162137,15916,68,45201.44,ad_group_3
10/5/15,167083,13905,53,34762.5,ad_group_3
10/6/15,169790,17745,52,51815.4,ad_group_3
10/7/15,169036,15374,59,38896.22,ad_group_3
10/8/15,165062,13505,63,32547.05,ad_group_3
10/9/15,164310,14891,67,38865.51,ad_group_3
10/10/15,165674,15387,56,41852.64,ad_group_3
10/11/15,168555,15873,66,40793.61,ad_group_3
10/12/15,166453,14205,55,34376.1,ad_group_3
10/13/15,170787,17306,51,48456.8,ad_group_3
10/14/15,174169,15124,54,37658.76,ad_group_3
10/15/15,168138,20848,66,66922.08,ad_group_3
10/16/15,173114,15002,55,38555.14,ad_group_3
10/17/15,166300,18623,63,55496.54,ad_group_3
10/18/15,167463,13897,57,34603.53,ad_group_3
10/19/15,170401,15537,61,40396.2,ad_group_3
10/20/15,176147,17121,66,47425.17,ad_group_3
10/21/15,171827,17571,65,49901.64,ad_group_3
10/22/15,173992,20789,56,65901.13,ad_group_3
10/23/15,178666,16910,60,45487.9,ad_group_3
10/24/15,172566,16290,55,42679.8,ad_group_3
10/25/15,171835,15424,60,41027.84,ad_group_3
10/26/15,167588,14278,48,37265.58,ad_group_3
10/27/15,166924,18142,56,53518.9,ad_group_3
10/28/15,165976,11521,56,26152.67,ad_group_3
10/29/15,175382,12994,66,30535.9,ad_group_3
10/30/15,167348,16946,58,50499.08,ad_group_3
10/31/15,177567,19281,66,58421.43,ad_group_3
11/1/15,174817,14789,61,35641.49,ad_group_3
11/2/15,170371,13185,65,28479.6,ad_group_3
11/3/15,166736,15003,57,37207.44,ad_group_3
11/4/15,185456,17034,70,44458.74,ad_group_3
11/5/15,181327,17029,60,43764.53,ad_group_3
11/6/15,179641,17211,59,43715.94,ad_group_3
11/7/15,175998,16334,61,42468.4,ad_group_3
11/8/15,177030,16590,48,44793,ad_group_3
11/9/15,171919,17656,50,48377.44,ad_group_3
11/10/15,173890,17429,55,47755.46,ad_group_3
11/11/15,177352,13319,67,29701.37,ad_group_3
11/12/15,164968,16970,58,46837.2,ad_group_3
11/13/15,161983,18414,51,54505.44,ad_group_3
11/14/15,170795,17221,71,47702.17,ad_group_3
11/15/15,163944,16796,55,50220.04,ad_group_3
11/16/15,158095,14451,57,38295.15,ad_group_3
11/17/15,170013,14245,61,34188,ad_group_3
11/18/15,175036,17086,53,47840.8,ad_group_3
11/19/15,175120,17720,67,48730,ad_group_3
11/20/15,167515,19102,50,59025.18,ad_group_3
11/21/15,157500,18173,48,55245.92,ad_group_3
11/22/15,162434,15964,49,45657.04,ad_group_3
10/1/15,76786,7383,408,20820.06,ad_group_4
10/2/15,81869,6751,410,17822.64,ad_group_4
10/3/15,83304,7588,482,20487.6,ad_group_4
10/4/15,89154,5884,532,13768.56,ad_group_4
10/5/15,83704,5460,355,11302.2,ad_group_4
10/6/15,88400,6364,462,14828.12,ad_group_4
10/7/15,91590,6846,435,15814.26,ad_group_4
10/8/15,95398,7489,504,17524.26,ad_group_4
10/9/15,90547,10061,518,31692.15,ad_group_4
10/10/15,97211,8046,495,21482.82,ad_group_4
10/11/15,91278,8906,448,23868.08,ad_group_4
10/12/15,92607,8462,615,23862.84,ad_group_4
10/13/15,96408,9073,407,24134.18,ad_group_4
10/14/15,99376,7622,585,17759.26,ad_group_4
10/15/15,94146,7878,473,19773.78,ad_group_4
10/16/15,87338,7467,428,18667.5,ad_group_4
10/17/15,88258,8173,422,21821.91,ad_group_4
10/18/15,94097,10293,462,31702.44,ad_group_4
10/19/15,92098,7616,557,19344.64,ad_group_4
10/20/15,91104,8470,469,21937.3,ad_group_4
10/21/15,92113,8068,533,22025.64,ad_group_4
10/22/15,95558,6371,520,13888.78,ad_group_4
10/23/15,93705,6818,499,15272.32,ad_group_4
10/24/15,90312,8502,492,23550.54,ad_group_4
10/25/15,95488,6512,470,14912.48,ad_group_4
10/26/15,99116,9115,579,24519.35,ad_group_4
10/27/15,86823,5533,480,10844.68,ad_group_4
10/28/15,91067,6486,379,14528.64,ad_group_4
10/29/15,90133,8498,534,23879.38,ad_group_4
10/30/15,97793,7623,527,18218.97,ad_group_4
10/31/15,93748,9352,528,26466.16,ad_group_4
11/1/15,93170,9606,523,26992.86,ad_group_4
11/2/15,95686,6801,548,15438.27,ad_group_4
11/3/15,94865,8430,530,22086.6,ad_group_4
11/4/15,90584,6622,473,15031.94,ad_group_4
11/5/15,97512,8063,603,22173.25,ad_group_4
11/6/15,97299,8679,497,23867.25,ad_group_4
11/7/15,92297,7954,554,19725.92,ad_group_4
11/8/15,89455,8518,365,22231.98,ad_group_4
11/9/15,94671,7557,545,18741.36,ad_group_4
11/10/15,94852,7989,469,20771.4,ad_group_4
11/11/15,90748,7333,369,17892.52,ad_group_4
11/12/15,91807,0,0,0,ad_group_4
11/13/15,93681,6506,562,14118.02,ad_group_4
11/14/15,97330,9240,500,26426.4,ad_group_4
11/15/15,0,0,0,0,ad_group_4
11/16/15,91300,9093,409,25005.75,ad_group_4
11/17/15,91499,8284,463,22366.8,ad_group_4
11/18/15,95304,7457,514,18418.79,ad_group_4
11/19/15,92897,8240,474,21588.8,ad_group_4
11/20/15,95726,7599,524,17325.72,ad_group_4
11/21/15,96179,8025,494,19982.25,ad_group_4
11/22/15,91684,7051,580,17909.54,ad_group_4
10/1/15,44544,2993,201,6015.93,ad_group_5
10/2/15,46663,2765,176,5308.8,ad_group_5
10/3/15,47227,3410,184,7570.2,ad_group_5
10/4/15,47088,3399,211,7681.74,ad_group_5
10/5/15,43155,2619,184,5107.05,ad_group_5
10/6/15,48936,2805,188,5497.8,ad_group_5
10/7/15,46907,3202,176,6692.18,ad_group_5
10/8/15,51637,3091,224,5934.72,ad_group_5
10/9/15,51703,3511,144,7724.2,ad_group_5
10/10/15,51275,3307,251,6514.79,ad_group_5
10/11/15,53671,3314,262,6230.32,ad_group_5
10/12/15,0,0,0,0,ad_group_5
10/13/15,51312,3451,204,7350.63,ad_group_5
10/14/15,49646,3239,194,6575.17,ad_group_5
10/15/15,54013,3113,219,6070.35,ad_group_5
10/16/15,54728,3525,264,7191,ad_group_5
10/17/15,55677,3890,239,8324.6,ad_group_5
10/18/15,52309,3752,192,7916.72,ad_group_5
10/19/15,50472,3465,172,7380.45,ad_group_5
10/20/15,56946,3331,215,6328.9,ad_group_5
10/21/15,52872,3417,257,6970.68,ad_group_5
10/22/15,55038,3707,236,8118.33,ad_group_5
10/23/15,56370,3031,199,5849.83,ad_group_5
10/24/15,57418,3067,190,5489.93,ad_group_5
10/25/15,53563,3384,236,6869.52,ad_group_5
10/26/15,47770,3013,204,6176.65,ad_group_5
10/27/15,53050,3860,217,9302.6,ad_group_5
10/28/15,51714,3118,235,5768.3,ad_group_5
10/29/15,51098,3031,217,5880.14,ad_group_5
10/30/15,54978,3967,206,9005.09,ad_group_5
10/31/15,57164,3597,224,7229.97,ad_group_5
11/1/15,53497,3362,269,6656.76,ad_group_5
11/2/15,53184,3695,227,7722.55,ad_group_5
11/3/15,51764,3128,194,6287.28,ad_group_5
11/4/15,54222,2680,244,5092,ad_group_5
11/5/15,51459,2913,263,5010.36,ad_group_5
11/6/15,49860,3930,180,9510.6,ad_group_5
11/7/15,53999,3229,220,6554.87,ad_group_5
11/8/15,53272,3304,187,6409.76,ad_group_5
11/9/15,53674,3618,255,7236,ad_group_5
11/10/15,54776,3621,182,7133.37,ad_group_5
11/11/15,52699,2645,252,4893.25,ad_group_5
11/12/15,55159,3597,199,6762.36,ad_group_5
11/13/15,52207,3463,209,7341.56,ad_group_5
11/14/15,53435,3724,218,7894.88,ad_group_5
11/15/15,52354,3309,200,6584.91,ad_group_5
11/16/15,54462,3555,214,7536.6,ad_group_5
11/17/15,54235,3676,245,7756.36,ad_group_5
11/18/15,53804,3280,203,5871.2,ad_group_5
11/19/15,55582,3268,222,6666.72,ad_group_5
11/20/15,53701,3687,206,7927.05,ad_group_5
11/21/15,52281,3119,233,6269.19,ad_group_5
11/22/15,56566,3668,265,6822.48,ad_group_5
10/1/15,33559,1126,15,1824.12,ad_group_6
10/2/15,35711,1191,20,1786.5,ad_group_6
10/3/15,37048,1308,22,2315.16,ad_group_6
10/4/15,37934,1331,25,2209.46,ad_group_6
10/5/15,34870,1210,21,1923.9,ad_group_6
10/6/15,34167,1142,20,2044.18,ad_group_6
10/7/15,36650,1226,24,1912.56,ad_group_6
10/8/15,41144,1456,23,2285.92,ad_group_6
10/9/15,41332,1110,24,1554,ad_group_6
10/10/15,39516,1547,22,2707.25,ad_group_6
10/11/15,38025,1445,22,2528.75,ad_group_6
10/12/15,40404,1323,22,2024.19,ad_group_6
10/13/15,39303,1351,24,2269.68,ad_group_6
10/14/15,42171,1375,27,2351.25,ad_group_6
10/15/15,37143,1296,22,2216.16,ad_group_6
10/16/15,41047,1168,22,1728.64,ad_group_6
10/17/15,41891,1484,18,2285.36,ad_group_6
10/18/15,41370,1523,23,2482.49,ad_group_6
10/19/15,37533,1211,23,1816.5,ad_group_6
10/20/15,40135,1431,22,2332.53,ad_group_6
10/21/15,38414,1280,23,2035.2,ad_group_6
10/22/15,42439,1264,26,1782.24,ad_group_6
10/23/15,40045,1213,23,1940.8,ad_group_6
10/24/15,38089,1392,21,2282.88,ad_group_6
10/25/15,39236,1232,25,1884.96,ad_group_6
10/26/15,42717,1441,27,2247.96,ad_group_6
10/27/15,41415,1307,18,1947.43,ad_group_6
10/28/15,40440,1449,28,2187.99,ad_group_6
10/29/15,39907,1624,25,2760.8,ad_group_6
10/30/15,40201,1246,19,1819.16,ad_group_6
10/31/15,43538,1596,26,2840.88,ad_group_6
11/1/15,38802,1391,22,2281.24,ad_group_6
11/2/15,36919,1125,24,1743.75,ad_group_6
11/3/15,42654,1280,25,1830.4,ad_group_6
11/4/15,41914,1217,24,1618.61,ad_group_6
11/5/15,40198,1288,26,2022.16,ad_group_6
11/6/15,41027,1368,22,2352.96,ad_group_6
11/7/15,39707,1379,21,2330.51,ad_group_6
11/8/15,39917,1307,19,2143.48,ad_group_6
11/9/15,40675,1459,22,2451.12,ad_group_6
11/10/15,38022,1284,15,2131.44,ad_group_6
11/11/15,38789,1277,25,1915.5,ad_group_6
11/12/15,39353,1216,28,2042.88,ad_group_6
11/13/15,38041,1195,18,1732.75,ad_group_6
11/14/15,40487,1508,23,2337.4,ad_group_6
11/15/15,38704,1225,24,1984.5,ad_group_6
11/16/15,41754,1475,32,2374.75,ad_group_6
11/17/15,41141,1399,22,2112.49,ad_group_6
11/18/15,39796,1309,27,1806.42,ad_group_6
11/19/15,39279,1491,25,2460.15,ad_group_6
11/20/15,42028,1280,26,1996.8,ad_group_6
11/21/15,40088,1314,26,1931.58,ad_group_6
11/22/15,40800,1241,26,1836.68,ad_group_6
10/1/15,48431,3475,24,5212.5,ad_group_7
10/2/15,51042,4387,24,7852.73,ad_group_7
10/3/15,48027,4558,22,8933.68,ad_group_7
10/4/15,51300,3632,27,5375.36,ad_group_7
10/5/15,49241,5186,20,11253.62,ad_group_7
10/6/15,49397,5457,22,12441.96,ad_group_7
10/7/15,49092,4332,22,7927.56,ad_group_7
10/8/15,57295,5777,25,12016.16,ad_group_7
10/9/15,61783,4865,27,8027.25,ad_group_7
10/10/15,60804,6065,30,12493.9,ad_group_7
10/11/15,60140,4443,22,6842.22,ad_group_7
10/12/15,56378,4829,24,8643.91,ad_group_7
10/13/15,54029,5025,27,9648,ad_group_7
10/14/15,57754,4461,27,7182.21,ad_group_7
10/15/15,56253,4627,27,7912.17,ad_group_7
10/16/15,53060,5330,25,11086.4,ad_group_7
10/17/15,53555,5174,24,10296.26,ad_group_7
10/18/15,58944,5433,30,10322.7,ad_group_7
10/19/15,57219,5018,22,9132.76,ad_group_7
10/20/15,57710,5122,24,9424.48,ad_group_7
10/21/15,58277,5528,24,10834.88,ad_group_7
10/22/15,55163,4722,26,8405.16,ad_group_7
10/23/15,56005,5722,25,12073.42,ad_group_7
10/24/15,58313,4929,25,8625.75,ad_group_7
10/25/15,55731,4551,23,7782.21,ad_group_7
10/26/15,56933,4971,24,8997.51,ad_group_7
10/27/15,58472,6127,25,13295.59,ad_group_7
10/28/15,55046,4786,22,8614.8,ad_group_7
10/29/15,60046,4588,25,7294.92,ad_group_7
10/30/15,56401,5134,27,9600.58,ad_group_7
10/31/15,59376,5329,27,9965.23,ad_group_7
11/1/15,56429,4828,27,8593.84,ad_group_7
11/2/15,54292,4707,22,8472.6,ad_group_7
11/3/15,58089,5024,22,8942.72,ad_group_7
11/4/15,55553,4840,29,8760.4,ad_group_7
11/5/15,54569,4473,21,7604.1,ad_group_7
11/6/15,54417,4756,23,8608.36,ad_group_7
11/7/15,54555,5279,24,10558,ad_group_7
11/8/15,54761,4522,26,7732.62,ad_group_7
11/9/15,58321,4703,24,7948.07,ad_group_7
11/10/15,58434,5572,25,10976.84,ad_group_7
11/11/15,57076,4390,27,7024,ad_group_7
11/12/15,54202,3717,24,5352.48,ad_group_7
11/13/15,55216,4402,26,7307.32,ad_group_7
11/14/15,56212,4717,28,8254.75,ad_group_7
11/15/15,57244,4801,23,8401.75,ad_group_7
11/16/15,56840,4566,26,7625.22,ad_group_7
11/17/15,58996,5236,24,9634.24,ad_group_7
11/18/15,55421,5052,29,9548.28,ad_group_7
11/19/15,56935,4270,26,6661.2,ad_group_7
11/20/15,53520,4600,25,8188,ad_group_7
11/21/15,57626,4611,32,7746.48,ad_group_7
11/22/15,56528,5445,24,10835.55,ad_group_7
10/1/15,38089,2555,75,5467.7,ad_group_8
10/2/15,37322,2548,66,5096,ad_group_8
10/3/15,36878,2444,57,5254.6,ad_group_8
10/4/15,35019,2546,56,5983.1,ad_group_8
10/5/15,38195,2354,65,5014.02,ad_group_8
10/6/15,39702,2010,79,3396.9,ad_group_8
10/7/15,37078,2277,54,4326.3,ad_group_8
10/8/15,42190,2116,74,3745.32,ad_group_8
10/9/15,44114,2698,75,5369.02,ad_group_8
10/10/15,43509,2887,73,6062.7,ad_group_8
10/11/15,40341,2394,69,4692.24,ad_group_8
10/12/15,41306,2678,65,5329.22,ad_group_8
10/13/15,43178,2434,76,4454.22,ad_group_8
10/14/15,40855,2514,67,4877.16,ad_group_8
10/15/15,47404,3076,79,6521.12,ad_group_8
10/16/15,46949,2950,79,6165.5,ad_group_8
10/17/15,47618,2999,83,5998,ad_group_8
10/18/15,43080,2988,78,6573.6,ad_group_8
10/19/15,40887,2777,77,6109.4,ad_group_8
10/20/15,44620,2727,74,4990.41,ad_group_8
10/21/15,46338,2343,79,4076.82,ad_group_8
10/22/15,47264,2740,82,5315.6,ad_group_8
10/23/15,45244,2285,86,4067.3,ad_group_8
10/24/15,45116,2794,76,5588,ad_group_8
10/25/15,43567,2844,69,5830.2,ad_group_8
10/26/15,43864,2778,67,5361.54,ad_group_8
10/27/15,46296,3279,67,6984.27,ad_group_8
10/28/15,48201,3006,94,5771.52,ad_group_8
10/29/15,44534,2373,67,4484.97,ad_group_8
10/30/15,44727,2538,79,4568.4,ad_group_8
10/31/15,46766,2870,90,5596.5,ad_group_8
11/1/15,41547,2915,79,5742.55,ad_group_8
11/2/15,44413,2426,77,4754.96,ad_group_8
11/3/15,44727,2770,68,5456.9,ad_group_8
11/4/15,43411,2814,82,5543.58,ad_group_8
11/5/15,46053,2725,77,5286.5,ad_group_8
11/6/15,44097,2557,81,4704.88,ad_group_8
11/7/15,45919,2757,78,5624.28,ad_group_8
11/8/15,45852,2876,77,5723.24,ad_group_8
11/9/15,44825,2278,74,4032.06,ad_group_8
11/10/15,45784,2754,80,5508,ad_group_8
11/11/15,42756,2870,65,5826.1,ad_group_8
11/12/15,45529,2827,75,5654,ad_group_8
11/13/15,47398,2462,76,4431.6,ad_group_8
11/14/15,46691,2577,90,4947.84,ad_group_8
11/15/15,47118,2564,75,4922.88,ad_group_8
11/16/15,47398,3100,81,6355,ad_group_8
11/17/15,44560,2464,78,4681.6,ad_group_8
11/18/15,46764,2193,84,3750.03,ad_group_8
11/19/15,47632,2793,83,4971.54,ad_group_8
11/20/15,45424,2921,78,6075.68,ad_group_8
11/21/15,46754,2626,88,4831.84,ad_group_8
11/22/15,43832,2650,85,5167.5,ad_group_8
10/1/15,102898,221,1,19.89,ad_group_9
10/2/15,110227,246,1,24.6,ad_group_9
10/3/15,109790,219,1,21.9,ad_group_9
10/4/15,111172,220,1,19.8,ad_group_9
10/5/15,120625,243,1,21.87,ad_group_9
10/6/15,110492,217,1,19.53,ad_group_9
10/7/15,116299,232,1,20.88,ad_group_9
10/8/15,111228,241,1,21.69,ad_group_9
10/9/15,117268,205,1,18.45,ad_group_9
10/10/15,117875,229,1,20.61,ad_group_9
10/11/15,113366,235,1,21.15,ad_group_9
10/12/15,128842,282,1,25.38,ad_group_9
10/13/15,119826,237,1,23.7,ad_group_9
10/14/15,114299,218,1,17.44,ad_group_9
10/15/15,112884,245,1,22.05,ad_group_9
10/16/15,116417,238,1,21.42,ad_group_9
10/17/15,118083,251,1,22.59,ad_group_9
10/18/15,127098,286,1,28.6,ad_group_9
10/19/15,120699,276,1,27.6,ad_group_9
10/20/15,121617,252,1,20.16,ad_group_9
10/21/15,121936,283,1,28.3,ad_group_9
10/22/15,118939,279,1,27.9,ad_group_9
10/23/15,125861,234,1,21.06,ad_group_9
10/24/15,120186,213,1,19.17,ad_group_9
10/25/15,127151,272,1,24.48,ad_group_9
10/26/15,122049,234,1,21.06,ad_group_9
10/27/15,124459,281,1,28.1,ad_group_9
10/28/15,121696,242,1,21.78,ad_group_9
10/29/15,113807,219,1,19.71,ad_group_9
10/30/15,128403,232,1,18.56,ad_group_9
10/31/15,127628,290,1,29,ad_group_9
11/1/15,128181,256,1,23.04,ad_group_9
11/2/15,127157,288,1,28.8,ad_group_9
11/3/15,129685,261,1,26.1,ad_group_9
11/4/15,132191,295,1,26.55,ad_group_9
11/5/15,120742,233,1,18.64,ad_group_9
11/6/15,127119,292,1,26.28,ad_group_9
11/7/15,124843,256,1,23.04,ad_group_9
11/8/15,121511,248,1,24.8,ad_group_9
11/9/15,118884,195,1,17.55,ad_group_9
11/10/15,122550,232,1,20.88,ad_group_9
11/11/15,121045,272,1,27.2,ad_group_9
11/12/15,119025,232,1,23.2,ad_group_9
11/13/15,127131,226,1,20.34,ad_group_9
11/14/15,127751,270,1,27,ad_group_9
11/15/15,125763,249,1,22.41,ad_group_9
11/16/15,124346,271,1,27.1,ad_group_9
11/17/15,126516,293,1,29.3,ad_group_9
11/18/15,127346,243,1,24.3,ad_group_9
11/19/15,123585,264,1,26.4,ad_group_9
11/20/15,126434,266,1,23.94,ad_group_9
11/21/15,118877,242,1,21.78,ad_group_9
11/22/15,123598,244,1,19.52,ad_group_9
10/1/15,97590,1120,14,1198.4,ad_group_10
10/2/15,101799,1467,16,1775.07,ad_group_10
10/3/15,102065,1256,16,1406.72,ad_group_10
10/4/15,104539,1296,16,1723.68,ad_group_10
10/5/15,108520,1322,16,1573.18,ad_group_10
10/6/15,109361,1857,19,2395.53,ad_group_10
10/7/15,101415,1523,13,1781.91,ad_group_10
10/8/15,112865,1488,16,1502.88,ad_group_10
10/9/15,108985,1451,22,1610.61,ad_group_10
10/10/15,119754,1916,22,2145.92,ad_group_10
10/11/15,114685,1618,20,2103.4,ad_group_10
10/12/15,112200,1790,23,2273.3,ad_group_10
10/13/15,114367,1288,17,1700.16,ad_group_10
10/14/15,106443,1557,18,1712.7,ad_group_10
10/15/15,114962,1623,18,1898.91,ad_group_10
10/16/15,108378,1140,21,1390.8,ad_group_10
10/17/15,114998,1349,21,1362.49,ad_group_10
10/18/15,116999,1682,17,2035.22,ad_group_10
10/19/15,123910,2018,24,2340.88,ad_group_10
10/20/15,125222,2158,14,2309.06,ad_group_10
10/21/15,121581,1706,19,2098.38,ad_group_10
10/22/15,120489,1807,22,2150.33,ad_group_10
10/23/15,117284,1828,16,2120.48,ad_group_10
10/24/15,126360,1734,24,1734,ad_group_10
10/25/15,122678,1557,20,1821.69,ad_group_10
10/26/15,116634,1624,22,1753.92,ad_group_10
10/27/15,128781,1657,22,2071.25,ad_group_10
10/28/15,124271,1749,21,1941.39,ad_group_10
10/29/15,122314,1609,24,1641.18,ad_group_10
10/30/15,118400,1718,19,1941.34,ad_group_10
10/31/15,115896,1863,20,1993.41,ad_group_10
11/1/15,123184,1642,21,1937.56,ad_group_10
11/2/15,116882,1982,20,2200.02,ad_group_10
11/3/15,128370,1888,22,2435.52,ad_group_10
11/5/15,127043,1573,20,1698.84,ad_group_10
11/6/15,123084,1509,21,1644.81,ad_group_10
11/7/15,128273,1783,19,2193.09,ad_group_10
11/8/15,117276,1799,21,2392.67,ad_group_10
11/9/15,124991,1473,20,1797.06,ad_group_10
11/10/15,122800,1627,20,2131.37,ad_group_10
11/11/15,119237,1636,16,1995.92,ad_group_10
11/12/15,124315,1854,21,1872.54,ad_group_10
11/13/15,116237,1668,20,2218.44,ad_group_10
11/14/15,119984,2009,16,2491.16,ad_group_10
11/15/15,122090,1860,21,2269.2,ad_group_10
11/16/15,122294,1610,19,1803.2,ad_group_10
11/17/15,122503,1891,20,2250.29,ad_group_10
11/18/15,114753,1865,23,2107.45,ad_group_10
11/19/15,125348,1999,25,2138.93,ad_group_10
11/20/15,131225,2177,17,2808.33,ad_group_10
11/21/15,115513,1598,23,1422.22,ad_group_10
11/22/15,121324,1684,19,2071.32,ad_group_10
10/1/15,16451,971,54,1543.89,ad_group_11
10/2/15,17699,1147,53,2053.13,ad_group_11
10/3/15,17786,1156,47,2092.36,ad_group_11
10/4/15,16349,1007,50,1721.97,ad_group_11
10/5/15,17703,974,53,1422.04,ad_group_11
10/6/15,17468,1076,51,1926.04,ad_group_11
10/7/15,16766,1172,45,2191.64,ad_group_11
10/8/15,19298,1273,59,2304.13,ad_group_11
10/9/15,19151,1271,64,2300.51,ad_group_11
10/10/15,18309,1068,50,1815.6,ad_group_11
10/11/15,17615,1131,62,2024.49,ad_group_11
10/12/15,18253,1190,69,2177.7,ad_group_11
10/13/15,18900,1322,55,2419.26,ad_group_11
10/14/15,19445,1309,51,2434.74,ad_group_11
10/15/15,19458,1279,61,2314.99,ad_group_11
10/16/15,20469,1360,70,2325.6,ad_group_11
